Item,Categoría,Nombre / Modelo,Fabricante,Código,Link,Cantidad,Storage,Precio U (€),Precio Total (€),Notas
1,Sensor IMU,Adafruit ICM-20948 IMU,Adafruit,4554,4554 Adafruit | Mouser Europa,5,0,$12.6,$63.0,"Sensor IMU 9-DOF, fácil integración con ESP32, amplia documentación y librerías disponibles"
2,I2C,TCA9548A I2C Multiplexer,Adafruit,2717,https://www.digikey.nl/nl/products/detail/adafruit-industries-llc/2717/5604376,1,1,$5.8,$11.6,Permite conectar múltiples IMU por I2C sin conflicto de direcciones. Cada IMU se puede seleccionar por canal
3,MCU,ProS3 ESP32-S3 USB-C uFL,Unexpected Maker,5824,Unexpected Maker ProS3 - ESP32-S3 Development Board - USB-C - uFL Antenna Connector - PS3-U-01,1,0,$23.0,$23.0,"Controlador pruebas. Potente, BLE robusto, soporte de librerías, ideal para integración de múltiples sensores con antena externa"
4,MCU,ProS3 ESP32-S3 USB-C,Unexpected Maker,5850,Unexpected Maker ProS3 - ESP32-S3 Development Board - USB-C - PS3-01,1,0,$23.0,$23.0,"Controlador principal. Potente, BLE robusto, soporte de librerías, ideal para integración de múltiples sensores"
5,MCU,ESP32-DEVKITC-VIE,Espressif,1965,https://www.digikey.nl/nl/products/detail/espressif-systems/ESP32-DEVKITC-VIE/12091811,1,0,$9.3,$9.3,Para pruebas de compatibilidad. Más estable y con documentación más extensa
6,Bio-sensor,MAX30102 HR & SpO2,DFRobot,4737,https://www.tinytronics.nl/en/sensors/body/dfrobot-gravity-max30102-heart-rate-and-oximeter-sensor,1,0,$12.6,$12.6,Sensor de pulso y SpO2. Integración directa con ESP32 mediante librerías disponibles
7,Bio-sensor,SparkFun Wireless EMG Kit,SparkFun,KIT-27922,"KIT-27922 SparkFun Electronics | Ontwikkelborden, kits, programmeereenheden | DigiKey",1,0,$115.0,$115.0,Versión inalámbrica para pruebas. Limitaciones: 1 sensor EMG por shield; transmisión vía BLE al ESP32 S3. Ideal para pruebas iniciales
8,MicroSD,Micro-SD SPI,Joy-it,COM-MSD,Joy-it COM-MSD Uitbreidingsmodule 1 stuk(s) kopen ? Conrad Electronic,1,3,$3.0,$12.0,"Joy-it COM-MSD Módulo de Expansión micro-SD interfaz SPI Pines: 6 (GND, VCC, MOSI, MISO, CLK, CS) para Esp32 Arduino Rasberry Pi Banana Pi 3,3 V"
9,Capacitor,0.1 µF Film 495-2479-1-ND,TDK EPCOS,B32529C1104J289,B32529C1104J289 EPCOS - TDK Electronics | Condensators | DigiKey,10,40,$0.1,$5.5,Desacoplo/bypass estándar
10,Capacitor,0.15 µF Film 495-1151-ND,TDK EPCOS,B32529C1154J000,B32529C1154J000 EPCOS - TDK Electronics | Condensators | DigiKey,0,10,$0.2,$2.3,Filtrado adicional
11,Capacitor,0.22 µF Film 495-1140-ND,TDK EPCOS,B32529C1224J289,B32529C1224J289 EPCOS - TDK Electronics | Condensators | DigiKey,0,20,$0.2,$4.9,Filtrado de ruido
12,Capacitor,0.33 µF Film 495-1158-ND,TDK EPCOS,B32529C1334J000,B32529C1334J000 EPCOS - TDK Electronics | Condensators | DigiKey,0,50,$0.2,$10.9,Suavizado de alimentación
13,Resistencia,1 kΩ Metal Film OX102KE,Ohmite,OX102KE-ND,OX102KE Ohmite | Weerstanden | DigiKey,0,10,$1.3,$13.2,LEDs / divisores
14,Resistencia,4.7 kΩ Metal Film OX472KE,Ohmite,OX472KE-ND,OX472KE Ohmite | Weerstanden | DigiKey,8,17,$1.1,$28.5,Pull-ups I2C
15,Resistencia,10 kΩ Metal Film OX103KE,Ohmite,OX103KE-ND,OX103KE Ohmite | Weerstanden | DigiKey,0,10,$1.4,$14.1,Entradas digitales
16,Conector,Molex Terminales (AWG20),Molex,,—,0,0,$0.0,$0.0,Terminales macho y hembra Molex → alimentación 20 AWG
17,Conector,Molex Carcasas (housing),Molex,,—,0,0,$0.0,$0.0,"Carcasas macho y hembra de 2, 4, 6 y 8 pines"
18,Conector,Micro-Fit 3.0,Aliexpress,Micro-Fit 3.0,10/30/50/200 sets 3.0 mm Micro-Fit 3.0 Connector Receptacle Housing 2 Pin 3 4 5 6 7 8 9 Circuit Plug House Terminal 43640 43645 - AliExpress 13,1,0,$18.0,$18.0,Micro-Fit 3.0 (2 pines) Male & Female Receptacle Plug with Terminal Sockets
19,Conector,JST XH,JST,2966,JST-XH Compatible Crimp Connector and Housing Set - JST-XH-SET,1,1,$6.0,$12.0,"JST Connector Kit, JST-XH Male and Female Connector Pin 2.54mm  → sensores (24 AWG) 460Pcs 2/3/4/5/6"
20,Cable,Cable AWG20 1.8mm Tinned Copper Core,Aliexpress,Genérico,Heat Resistant Soft Silicone Wire 5 Colors in A Box Kit 30/28/26/24/22/20/18AWG Stranded Cable Electrical Tinned Copper Wire,1,0,$13.0,$13.0,Cubierta de Silicona 1.8mm cobre estañado trenzado (stranded tinned copper) para alimentación principal y conexión a terminales Molex. IMPORTANTE: OFC / Pure Copper / Tinned Copper
21,Cable,Cable AWG28 SH1.0mm Qwiic/STEMMA QT,SparkFun,17257,17257 SparkFun Electronics | Cable Assemblies | DigiKey,5,5,$2.8,$27.5,Variante SHR 04V 500 mm de longitud con 4 pines Cable para conector QWIIC/QT sensor IMU (ICM 20948)
22,Cable,Cable AWG28 SH1.0mm Qwiic/STEMMA QT,Amazon,Genérico,"I2C Qwiic cable set Stemma QT wire for SparkFun development boards Sensor plate Breakout Breadboard 4 Pin Sh1.0 plug : Amazon.nl: Business, Industry & Science",5,5,$2.8,$27.5,"I2C Qwiic cable set Stemma QT wire for SparkFun development boards Sensor plate Breakout Breadboard 4 Pin Sh1.0 plug - Contains 12 cables in different lengths and styles (10cm, 20cm, 30cm, 50cm. SH1.0 plug and plugboard jumper and bush bridge)"
23,Cable,Cable AWG24 4 Core Shielded,M5Stack,A088-C,A088-C M5Stack | Mouser Europe,1,4,$9.0,$45.0,"Cable de 5 metros blindado de 4 nucleos con tierra para señales de sensores y conectores JST/XH y Molex Micro-Fit 3.0 trenzados para reducir ruido, multifilar es flexible y fácil de enrutar en el traje"
24,PCB,PCB ,DWC-LSI,Genérica,https://a.aliexpress.com/_mtnnhet,3,6,$3.0,$27.0,"Usadas para prototipado temporal con estas specs: Grid: 0.1 Thickness: 1.6mm Hole diameter: about 1mm Material: FR 4 glass fiber. Vienen 5 de estos tamaños 2x8, 3x7, 6x4, 5x7, 7x9 y colores 5 rojo, 5 negro, 5 verde"
